32, 5, Average, 4, 0, insert insert insert, replace, insert, replace, insert, 
32, 9, Average, 4, 4, insert insert insert insert insert, insert, delete delete delete delete, insert insert replace, delete, insert replace, replace replace, insert insert, delete replace replace replace, 
32, 7, Average, 4, 10, insert, delete replace, replace, insert, replace replace, insert replace replace, replace, 
32, 6, Average, 3, 11, insert insert insert insert insert, delete delete, insert, delete delete delete replace, insert, delete replace, 
32, 7, Average, 4, 12, insert insert insert insert insert insert insert insert insert, replace, replace replace replace, replace replace replace replace replace, delete delete delete delete, replace, insert insert, 
32, 17, Average, 4, 13, insert, replace, insert replace, replace, replace replace, replace, insert replace, replace, replace replace, insert replace replace, replace, replace replace replace replace, replace replace, replace, replace replace replace, replace replace replace replace, replace, 
32, 4, Average, 4, 14, insert insert insert insert insert, insert, replace replace replace replace, replace, 
32, 11, Average, 4, 21, insert, replace, insert replace, replace, insert replace, insert insert, delete delete replace replace replace, delete, insert, replace replace replace, replace, 
32, 8, Average, 4, 29, insert, replace, insert replace, replace, insert, replace, replace replace replace, insert insert insert replace replace replace, 
32, 4, Average, 4, 30, insert insert insert, insert, insert insert, replace, 
32, 14, Average, 4, 32, insert, replace, insert, replace, replace replace, replace, replace replace, insert, replace, replace replace, delete, insert replace replace, replace replace, insert, 
32, 9, Average, 4, 36, insert, replace, insert replace, replace, replace replace, replace, replace replace, replace, insert replace, 
32, 4, Average, 4, 42, insert, replace, insert replace, replace, 
32, 5, Average, 4, 43, insert insert insert insert insert, delete, insert replace, delete replace replace, replace, 
32, 4, Average, 4, 44, insert insert insert insert insert insert insert insert insert, delete delete delete delete, replace, insert insert replace, 
32, 4, Average, 4, 45, insert insert insert insert insert, insert, delete delete replace, replace, 
32, 7, Average, 4, 46, insert, replace, insert replace, insert, delete replace replace replace, replace, insert, 
32, 19, Average, 2, 48, insert insert insert insert insert insert insert, replace replace replace, replace, delete delete replace, insert insert, delete delete, replace, insert, replace, delete, replace, insert, replace, insert, replace, delete replace, insert replace, replace replace, replace, 
32, 6, Average, 4, 50, insert, delete replace, replace, insert replace, delete delete replace, insert, 
32, 7, Average, 4, 62, insert insert insert, insert, replace replace, delete replace replace, replace replace, insert replace replace, insert replace replace replace, 
32, 7, Average, 4, 66, insert insert insert insert insert insert insert insert insert, delete replace replace replace replace, replace, replace replace, replace, replace replace replace replace, replace, 
32, 7, Average, 4, 67, insert insert insert, replace, replace replace, insert, replace replace replace, replace, replace replace replace, 
32, 2, Average, 2, 68, insert insert insert insert insert, insert, 
32, 5, Average, 4, 69, insert insert insert, replace, insert, replace replace, replace, 
32, 6, Average, 4, 70, insert insert insert insert insert, delete delete replace, insert insert, delete insert, replace replace, insert, 
32, 7, Average, 4, 74, insert, replace, insert, replace, insert replace, replace replace, delete replace, 
32, 2, Average, 4, 79, insert insert insert insert insert insert insert, delete, 
32, 34, Average, 3, 84, insert, replace, delete delete delete delete, insert, delete replace replace, replace, insert replace, replace, insert insert insert, replace, delete delete delete delete delete, insert, replace, delete delete delete delete replace, insert, replace, insert, replace, replace replace replace, replace, insert, delete, replace, replace replace, delete, insert, replace, delete, replace, delete, insert replace, delete, insert, replace, 
32, 7, Average, 4, 87, insert, replace, insert, replace replace, delete delete replace, insert replace, insert, 
32, 9, Average, 4, 90, insert, replace, insert replace, replace, replace replace, replace, replace replace, insert replace replace, insert, 
IU, 2, Average, 1, 96, insert, replace, 
IU, 3, Average, 3, 97, insert insert insert, replace replace, insert, 
IU, 1, Average, 4, 98, insert insert insert insert insert, 
IU, 4, Average, 3, 105, insert insert insert insert insert insert insert insert insert, delete delete, replace replace replace, delete replace, 
IU, 6, Average, 4, 111, insert insert insert insert insert insert insert insert insert, replace, replace replace replace, delete delete replace, insert, delete, 
IU, 3, Average, 4, 125, insert, replace, insert insert insert insert replace, 
IU, 3, Average, 4, 126, insert insert insert, replace replace, insert, 
