32, 5, Average, 4, abrown53, insert insert insert, replace, insert, replace, insert, 
32, 9, Average, 4, egrimsh1, insert insert insert insert insert, insert, delete delete delete delete, insert insert replace, delete, insert replace, replace replace, insert insert, delete replace replace replace, 
32, 7, Average, 4, ksang1, insert, delete replace, replace, insert, replace replace, insert replace replace, replace, 
32, 6, Average, 3, lqu2, insert insert insert insert insert, delete delete, insert, delete delete delete replace, insert, delete replace, 
32, 7, Average, 4, mislam8, insert insert insert insert insert insert insert insert insert, replace, replace replace replace, replace replace replace replace replace, delete delete delete delete, replace, insert insert, 
32, 17, Average, 4, mthain, insert, replace, insert replace, replace, replace replace, replace, insert replace, replace, replace replace, insert replace replace, replace, replace replace replace replace, replace replace, replace, replace replace replace, replace replace replace replace, replace, 
32, 4, Average, 4, spark108, insert insert insert insert insert, insert, replace replace replace replace, replace, 
32, 11, Average, 4, cander23, insert, replace, insert replace, replace, insert replace, insert insert, delete delete replace replace replace, delete, insert, replace replace replace, replace, 
32, 8, Average, 4, dtoth1, insert, replace, insert replace, replace, insert, replace, replace replace replace, insert insert insert replace replace replace, 
32, 4, Average, 4, elevin3, insert insert insert, insert, insert insert, replace, 
32, 14, Average, 4, gwarre, insert, replace, insert, replace, replace replace, replace, replace replace, insert, replace, replace replace, delete, insert replace replace, replace replace, insert, 
32, 9, Average, 4, jbernar3, insert, replace, insert replace, replace, replace replace, replace, replace replace, replace, insert replace, 
32, 4, Average, 4, jtarlows, insert, replace, insert replace, replace, 
32, 5, Average, 4, jzhang30, insert insert insert insert insert, delete, insert replace, delete replace replace, replace, 
32, 4, Average, 4, kazhar, insert insert insert insert insert insert insert insert insert, delete delete delete delete, replace, insert insert replace, 
32, 4, Average, 4, kfeinbe1, insert insert insert insert insert, insert, delete delete replace, replace, 
32, 7, Average, 4, kreyes7, insert, replace, insert replace, insert, delete replace replace replace, replace, insert, 
32, 19, Average, 2, mabouela, insert insert insert insert insert insert insert, replace replace replace, replace, delete delete replace, insert insert, delete delete, replace, insert, replace, delete, replace, insert, replace, insert, replace, delete replace, insert replace, replace replace, replace, 
32, 6, Average, 4, mgans, insert, delete replace, replace, insert replace, delete delete replace, insert, 
32, 7, Average, 4, ncousin2, insert insert insert, insert, replace replace, delete replace replace, replace replace, insert replace replace, insert replace replace replace, 
32, 7, Average, 4, nnguye20, insert insert insert insert insert insert insert insert insert, delete replace replace replace replace, replace, replace replace, replace, replace replace replace replace, replace, 
32, 7, Average, 4, nparekh1, insert insert insert, replace, replace replace, insert, replace replace replace, replace, replace replace replace, 
32, 2, Average, 2, nrshaida, insert insert insert insert insert, insert, 
32, 5, Average, 4, ojohnso3, insert insert insert, replace, insert, replace replace, replace, 
32, 6, Average, 4, pdam, insert insert insert insert insert, delete delete replace, insert insert, delete insert, replace replace, insert, 
32, 7, Average, 4, rgupta33, insert, replace, insert, replace, insert replace, replace replace, delete replace, 
32, 2, Average, 4, sduraide, insert insert insert insert insert insert insert, delete, 
32, 34, Average, 3, tnguye99, insert, replace, delete delete delete delete, insert, delete replace replace, replace, insert replace, replace, insert insert insert, replace, delete delete delete delete delete, insert, replace, delete delete delete delete replace, insert, replace, insert, replace, replace replace replace, replace, insert, delete, replace, replace replace, delete, insert, replace, delete, replace, delete, insert replace, delete, insert, replace, 
32, 7, Average, 4, xzhan180, insert, replace, insert, replace replace, delete delete replace, insert replace, insert, 
32, 5, Average, 4, ysayin, insert insert insert insert insert insert insert insert insert, delete delete delete delete, insert insert, replace replace replace, insert, 
IU, 9, Average, 4, , insert, replace, insert replace, replace, replace replace, replace, replace replace, insert replace replace, insert, 
IU, 2, Average, 1, 2000328575, insert, replace, 
IU, 3, Average, 3, 2000351028, insert insert insert, replace replace, insert, 
IU, 1, Average, 4, 2000375187, insert insert insert insert insert, 
IU, 4, Average, 3, aeckard, insert insert insert insert insert insert insert insert insert, delete delete, replace replace replace, delete replace, 
IU, 6, Average, 4, andhell, insert insert insert insert insert insert insert insert insert, replace, replace replace replace, delete delete replace, insert, delete, 
IU, 3, Average, 4, cjlatty, insert, replace, insert insert insert insert replace, 
IU, 3, Average, 4, ctrierwi, insert insert insert, replace replace, insert, 
IU, 4, Average, 3, cwidder, insert, replace, insert replace, insert, 
