SumParityInt,
59,0.966101694915254
EvenlyDividesIntoFirst,
0,0
1,0
1,0
1,0
1,0
2,0
2,0
2,0
2,0.4
3,0
3,0
3,0
3,0.333333333333333
3,0.277777777777778
4,0.375
4,0
4,0.583333333333333
4,0.325
4,0.354166666666667
5,0.52
5,0.333333333333333
5,0
5,0.233333333333333
6,0.305555555555556
6,0.458333333333333
6,0.277777777777778
